trade_date,trade_symbol,open,high,low,close,vwap,volume,amount
2023-06-08,601668.SH,4.95,5.06,4.88,5.06,5.006736551298061,220616903.0,1346877726.0
2023-06-09,601668.SH,5.03,5.1,5.02,5.06,5.064449802375869,165041902.0,1020855914.0
2023-06-12,601668.SH,5.05,5.06,4.96,4.96,4.992859310387964,197717564.0,1204115863.0
2023-06-13,601668.SH,4.97,4.98,4.88,4.92,4.918332196478463,181949346.0,1091326008.0
2023-06-14,601668.SH,4.92,4.98,4.86,4.88,4.913706969696082,157938183.0,946223075.0
2023-06-15,601668.SH,4.88,4.93,4.86,4.93,4.906188069355717,136908073.0,818843305.0
2023-06-16,601668.SH,4.94,5.04,4.93,5.02,5.008660230279097,241370507.0,1473850657.0
2023-06-19,601668.SH,5.01,5.02,4.83,4.84,4.867231587866796,310653822.0,1846293885.0
2023-06-20,601668.SH,4.83,4.88,4.77,4.79,4.812631116473779,204797782.0,1201669829.0
2023-06-21,601668.SH,4.78,4.86,4.76,4.81,4.820444603179753,176094386.0,1035918602.0
2023-06-26,601668.SH,4.79,4.79,4.64,4.66,4.697929638440926,200647111.0,1150974677.0
2023-06-27,601668.SH,4.67,4.86,4.66,4.83,4.777726491906933,225336979.0,1315099561.0
2023-06-28,601668.SH,4.85,4.89,4.8,4.88,4.853093681695343,167175276.0,990871099.0
2023-06-29,601668.SH,4.89,4.93,4.82,4.9,4.89242050474788,177762672.0,1061376460.0
2023-06-30,601668.SH,4.93,5.0,4.89,4.91,4.940724994935069,161117467.0,930601412.0
2023-07-03,601668.SH,4.91,4.99,4.86,4.95,4.94220499468674,216122264.0,1247219531.0
2023-07-04,601668.SH,4.93,5.0,4.86,4.9,4.914354370114021,174701187.0,1003970305.0
2023-07-05,601668.SH,4.89,5.0,4.88,4.92,4.947768580722415,135666380.0,784484482.0
2023-07-06,601668.SH,4.91,4.92,4.84,4.87,4.877886561566531,125847283.0,717230658.0
2023-07-07,601668.SH,4.85,4.89,4.81,4.83,4.841776242101044,138526547.0,783194623.0
2023-07-10,601668.SH,4.84,4.91,4.84,4.87,4.876037464145024,115169286.0,656125646.0
2023-07-11,601668.SH,4.91,4.94,4.86,4.9,4.896207166134885,103178063.0,590752676.0
2023-07-12,601668.SH,4.91,4.93,4.83,4.83,4.870282907459328,122851130.0,698659097.0
2023-07-13,601668.SH,4.85,4.89,4.84,4.89,4.876850874032321,126304818.0,719261215.0
2023-07-14,601668.SH,4.91,4.94,4.86,4.89,4.894224140414104,125771173.0,718773762.0
2023-07-17,601668.SH,4.88,4.88,4.82,4.84,4.829809063210472,94683680.0,534781236.0
2023-07-18,601668.SH,4.85,4.85,4.78,4.81,4.811019488359438,122158818.0,686678069.0
2023-07-19,601668.SH,4.79,4.84,4.78,4.83,4.8049418172434635,106611578.0,599230378.0
2023-07-20,601668.SH,4.83,4.87,4.79,4.8,4.835655283789013,140389262.0,793434077.0
2023-07-21,601668.SH,4.76,4.76,4.68,4.71,4.718506251407616,273053885.0,1504508609.0
2023-07-24,601668.SH,4.69,4.77,4.66,4.76,4.72933745877271,163142542.0,901229435.0
2023-07-25,601668.SH,4.82,4.98,4.81,4.98,4.933289391022846,358078045.0,2064466918.0
2023-07-26,601668.SH,4.97,5.01,4.95,4.99,4.976919709446006,138175099.0,803449210.0
2023-07-27,601668.SH,5.0,5.02,4.96,4.97,4.991291592383502,116033050.0,677040103.0
2023-07-28,601668.SH,4.97,5.17,4.95,5.15,5.083383953257151,285662041.0,1697441089.0
2023-07-31,601668.SH,5.18,5.35,5.18,5.23,5.260003136952506,302047723.0,1856098803.0
2023-08-01,601668.SH,5.2,5.28,5.19,5.22,5.221538751896927,148418186.0,905617814.0
2023-08-02,601668.SH,5.21,5.27,5.16,5.19,5.194795403176725,121307213.0,737015134.0
2023-08-03,601668.SH,5.19,5.25,5.14,5.23,5.198295489225882,117100084.0,711144230.0
2023-08-04,601668.SH,5.26,5.34,5.2,5.21,5.258593410479762,155732783.0,957258446.0
2023-08-07,601668.SH,5.2,5.22,5.12,5.16,5.153774914922248,152837472.0,920498115.0
2023-08-08,601668.SH,5.13,5.19,5.12,5.14,5.148013368973163,101911812.0,613444875.0
2023-08-09,601668.SH,5.13,5.19,5.12,5.17,5.163844124847284,100207682.0,604533728.0
2023-08-10,601668.SH,5.16,5.19,5.12,5.13,5.140086435957753,109563777.0,658675186.0
2023-08-11,601668.SH,5.15,5.17,5.01,5.01,5.065768261730491,186868053.0,1107236183.0
2023-08-14,601668.SH,4.98,5.08,4.94,5.05,4.9997532553423385,190282656.0,1111497295.0
2023-08-15,601668.SH,5.05,5.08,5.01,5.07,5.059698681275798,121308817.0,716689050.0
2023-08-16,601668.SH,5.07,5.14,5.01,5.08,5.087577222545064,123225413.0,733050728.0
2023-08-17,601668.SH,5.07,5.1,5.02,5.08,5.060636444419824,135806626.0,803616474.0
2023-08-18,601668.SH,5.08,5.16,5.01,5.01,5.075161178680304,138625515.0,821506780.0
2023-08-21,601668.SH,5.01,5.09,4.98,4.98,5.030451309738267,142402210.0,837177063.0
2023-08-22,601668.SH,5.0,5.09,4.99,5.07,5.044263244596652,169861172.0,1002163528.0
2023-08-23,601668.SH,5.07,5.1,5.01,5.01,5.054467738759866,163741170.0,966387844.0
2023-08-24,601668.SH,5.02,5.04,4.77,4.77,4.856266019838136,344962886.0,1959704822.0
2023-08-25,601668.SH,4.77,4.89,4.76,4.85,4.835376392531107,191997355.0,1085342606.0
2023-08-28,601668.SH,5.09,5.13,4.95,4.98,5.031932630970108,281147567.0,1653342347.0
2023-08-29,601668.SH,4.98,5.03,4.89,4.92,4.926447040054806,245336928.0,1412535864.0
2023-08-30,601668.SH,4.89,4.9,4.8,4.81,4.833177060675212,231530728.0,1307472557.0
2023-08-31,601668.SH,4.83,4.86,4.79,4.82,4.820649015945319,186145938.0,1048142745.0
2023-09-01,601668.SH,4.84,4.94,4.84,4.89,4.891887735072346,192454421.0,1101264256.0
2023-09-04,601668.SH,4.95,5.01,4.93,4.96,4.9725526098035875,221656775.0,1288862874.0
2023-09-05,601668.SH,4.95,4.95,4.87,4.89,4.891784048559346,141992046.0,812490821.0
2023-09-06,601668.SH,4.89,4.93,4.84,4.9,4.880470356556159,152318298.0,869305244.0
2023-09-07,601668.SH,4.89,4.93,4.85,4.85,4.880650023447917,116694030.0,665836541.0
2023-09-08,601668.SH,4.84,4.86,4.82,4.85,4.839382756864303,69339981.0,392297022.0
2023-09-11,601668.SH,4.87,4.89,4.83,4.87,4.863322611574895,123623651.0,702454098.0
2023-09-12,601668.SH,4.87,4.9,4.83,4.84,4.858148999089264,102343340.0,581435422.0
2023-09-13,601668.SH,4.85,4.9,4.83,4.86,4.864549284807081,155761427.0,885553067.0
2023-09-14,601668.SH,4.88,4.91,4.85,4.89,4.889891038214796,118381641.0,675944108.0
2023-09-15,601668.SH,4.9,4.91,4.81,4.82,4.856520616543087,165841964.0,940764727.0
2023-09-18,601668.SH,4.83,4.83,4.78,4.8,4.802072786734812,106426726.0,597311759.0
2023-09-19,601668.SH,4.81,4.83,4.77,4.82,4.809918863308656,97526414.0,547925311.0
2023-09-20,601668.SH,4.81,4.85,4.77,4.83,4.822261903502868,95622739.0,538448221.0
2023-09-21,601668.SH,4.83,4.85,4.77,4.77,4.806177364028318,115725224.0,649478292.0
2023-09-22,601668.SH,4.76,4.9,4.75,4.9,4.838603359041134,191361169.0,1082760440.0
2023-09-25,601668.SH,4.89,4.89,4.78,4.79,4.819635548259665,159829480.0,900582698.0
2023-09-26,601668.SH,4.79,4.8,4.71,4.71,4.741949070461065,187885081.0,1042269126.0
2023-09-27,601668.SH,4.73,4.79,4.72,4.76,4.764002219961467,161162354.0,896816100.0
2023-09-28,601668.SH,4.77,4.78,4.72,4.73,4.741223411286312,109607346.0,607566854.0
2023-10-09,601668.SH,4.72,4.72,4.65,4.65,4.6778955487008425,152002940.0,831856578.0
2023-10-10,601668.SH,4.68,4.69,4.45,4.47,4.506082158908349,355334420.0,1869818119.0
2023-10-11,601668.SH,4.47,4.52,4.46,4.48,4.483157359294955,145807949.0,764572119.0
2023-10-12,601668.SH,4.53,4.6,4.53,4.57,4.570764577384457,157153705.0,839341186.0
2023-10-13,601668.SH,4.54,4.55,4.49,4.5,4.507780776328368,93114821.0,490630825.0
2023-10-16,601668.SH,4.53,4.53,4.47,4.49,4.495183627428951,81302089.0,427328742.0
2023-10-17,601668.SH,4.51,4.53,4.48,4.53,4.516213357918704,88810487.0,468377660.0
2023-10-18,601668.SH,4.51,4.53,4.46,4.47,4.48871756834729,95323419.0,499671836.0
2023-10-19,601668.SH,4.45,4.47,4.37,4.42,4.4085128155945945,186571035.0,962065414.0
2023-10-20,601668.SH,4.42,4.46,4.37,4.4,4.420292263803555,127393978.0,657824928.0
2023-10-23,601668.SH,4.4,4.41,4.31,4.35,4.3546736584021914,111052727.0,564753976.0
2023-10-24,601668.SH,4.35,4.37,4.3,4.36,4.350594659232355,145848467.0,740767268.0
2023-10-25,601668.SH,4.45,4.47,4.39,4.44,4.43005876957004,194950667.0,1009528539.0
2023-10-26,601668.SH,4.42,4.47,4.4,4.46,4.432381219053184,104521441.0,541184512.0
2023-10-27,601668.SH,4.46,4.49,4.42,4.47,4.469586328454476,136791888.0,713987574.0
2023-10-30,601668.SH,4.46,4.47,4.4,4.42,4.417415185761765,141918622.0,733290197.0
2023-10-31,601668.SH,4.42,4.45,4.39,4.43,4.415725103491985,107474957.0,554926344.0
2023-11-01,601668.SH,4.44,4.44,4.4,4.41,4.419777689943554,98676278.0,509309556.0
2023-11-02,601668.SH,4.42,4.49,4.41,4.42,4.453581665862323,143375104.0,745436405.0
2023-11-03,601668.SH,4.42,4.44,4.4,4.41,4.418713599286224,119015485.0,614140819.0
2023-11-06,601668.SH,4.42,4.52,4.4,4.48,4.459972673835354,220672100.0,1151152600.0
2023-11-07,601668.SH,4.47,4.48,4.42,4.42,4.4319479754266045,136647700.0,708378308.0
2023-11-08,601668.SH,4.42,4.43,4.38,4.4,4.406744592138076,119018919.0,612694983.0
2023-11-09,601668.SH,4.4,4.46,4.39,4.41,4.423663506935066,128265968.0,662616379.0
2023-11-10,601668.SH,4.4,4.41,4.32,4.34,4.34568824465572,175713927.0,892037233.0
2023-11-13,601668.SH,4.35,4.41,4.33,4.4,4.370149006878287,158099347.0,807117500.0
2023-11-14,601668.SH,4.4,4.43,4.36,4.39,4.393063209732978,96945042.0,497675086.0
2023-11-15,601668.SH,4.42,4.45,4.4,4.42,4.41788277398103,134370932.0,694364951.0
2023-11-16,601668.SH,4.42,4.43,4.37,4.4,4.391792906262208,87296757.0,447868384.0
2023-11-17,601668.SH,4.39,4.39,4.34,4.36,4.357827908245677,119681414.0,608874913.0
2023-11-20,601668.SH,4.36,4.37,4.32,4.34,4.345185460272468,136512861.0,692947155.0
2023-11-21,601668.SH,4.36,4.42,4.36,4.38,4.395323120987815,202812615.0,1042033360.0
2023-11-22,601668.SH,4.36,4.39,4.35,4.36,4.368741156888063,96564124.0,492496799.0
2023-11-23,601668.SH,4.35,4.39,4.33,4.38,4.362543187968959,110940058.0,565749239.0
2023-11-24,601668.SH,4.38,4.42,4.35,4.36,4.370319095090924,96327409.0,492432506.0
2023-11-27,601668.SH,4.36,4.37,4.27,4.3,4.304491343003583,226835851.0,1139905359.0
2023-11-28,601668.SH,4.3,4.3,4.28,4.29,4.290959307270813,109596676.0,549202129.0
2023-11-29,601668.SH,4.3,4.3,4.16,4.23,4.215463528434752,279140388.0,1374214718.0
2023-11-30,601668.SH,4.22,4.27,4.2,4.25,4.245202808031919,139756922.0,693807881.0
2023-12-01,601668.SH,4.24,4.26,4.21,4.24,4.242945370478754,181010141.0,896622616.0
2023-12-04,601668.SH,4.24,4.25,4.18,4.18,4.203826142291297,148471000.0,728668374.0
2023-12-05,601668.SH,4.17,4.18,4.12,4.12,4.149210528682698,137494658.0,666038228.0
2023-12-06,601668.SH,4.11,4.12,4.06,4.08,4.084266673510332,156776497.0,748605930.0
2023-12-07,601668.SH,4.06,4.1,4.04,4.07,4.0699218461399855,119834757.0,570402490.0
2023-12-08,601668.SH,4.08,4.12,4.06,4.07,4.090746620260903,123616660.0,591414719.0
2023-12-11,601668.SH,4.06,4.12,4.0,4.1,4.051395166540604,203803887.0,964647682.0
2023-12-12,601668.SH,4.09,4.16,4.08,4.15,4.125337986027866,158494035.0,764127975.0
2023-12-13,601668.SH,4.14,4.15,4.07,4.07,4.099980753538683,116191500.0,557145619.0
2023-12-14,601668.SH,4.09,4.12,4.06,4.06,4.082269081969903,101788040.0,486145148.0
