trade_date,trade_symbol,open,high,low,close,volume,amount
2025-01-02,000333.SZ,68.09,69.71,67.73,68.02,41367089.0,3143071622.0
2025-01-03,000333.SZ,67.73,68.68,66.73,67.45,29642200.0,2225340636.0
2025-01-06,000333.SZ,67.44,68.88,67.08,68.07,30681009.0,2308954916.0
2025-01-07,000333.SZ,67.73,69.32,67.28,68.57,25178525.0,1913943076.0
2025-01-08,000333.SZ,68.19,70.13,68.12,70.06,40692962.0,3129132562.0
2025-01-09,000333.SZ,70.17,71.34,69.71,71.1,34598694.0,2715146336.0
2025-01-10,000333.SZ,71.1,71.24,68.96,68.96,27109567.0,2093133229.0
2025-01-13,000333.SZ,68.28,68.65,66.76,67.1,25584606.0,1911136129.0
2025-01-14,000333.SZ,67.1,68.04,66.31,67.38,28858396.0,2150563704.0
2025-01-15,000333.SZ,67.4,68.42,66.46,66.66,25663453.0,1910565918.0
2025-01-16,000333.SZ,66.82,68.13,66.73,66.91,26233035.0,1953070088.0
2025-01-17,000333.SZ,66.9,67.61,66.49,67.14,15928751.0,1184446629.0
2025-01-20,000333.SZ,67.82,69.3,67.62,67.63,29699251.0,2245932516.0
2025-01-21,000333.SZ,67.96,67.99,67.02,67.19,16286277.0,1217315662.0
2025-01-22,000333.SZ,67.17,67.17,65.27,65.92,32217997.0,2351219471.0
2025-01-23,000333.SZ,66.28,66.75,65.38,66.29,27008672.0,1981526548.0
2025-01-24,000333.SZ,65.93,66.5,65.52,65.76,30486076.0,2224547325.0
2025-01-27,000333.SZ,65.8,67.1,65.58,66.72,28011516.0,2066038991.0
2025-02-05,000333.SZ,66.28,66.54,64.73,65.21,36351088.0,2623254186.0
2025-02-06,000333.SZ,65.18,65.52,64.5,65.26,28567493.0,2058313211.0
2025-02-07,000333.SZ,65.38,66.32,64.72,66.32,35534968.0,2588044043.0
2025-02-10,000333.SZ,66.21,66.22,65.47,65.93,31864987.0,2324957366.0
2025-02-11,000333.SZ,66.32,66.7,65.57,66.55,30044016.0,2200715457.0
2025-02-12,000333.SZ,66.34,66.45,65.63,66.17,22807278.0,1667138730.0
2025-02-13,000333.SZ,65.92,66.27,65.14,65.14,41066444.0,2979276852.0
2025-02-14,000333.SZ,65.13,65.64,64.93,65.46,23435076.0,1697819619.0
2025-02-17,000333.SZ,65.24,65.44,64.34,65.05,40235806.0,2886662764.0
2025-02-18,000333.SZ,65.01,65.61,64.59,64.93,29346513.0,2117878259.0
2025-02-19,000333.SZ,64.39,64.99,64.12,64.52,33715017.0,2408852125.0
2025-02-20,000333.SZ,64.49,64.76,64.17,64.32,31420228.0,2241810157.0
2025-02-21,000333.SZ,64.13,64.32,63.39,63.75,55339013.0,3903770927.0
2025-02-24,000333.SZ,63.8,64.57,63.47,64.02,46937741.0,3326317437.0
2025-02-25,000333.SZ,63.66,63.82,62.29,62.34,56599867.0,3932087508.0
2025-02-26,000333.SZ,62.05,63.36,62.04,63.32,40412376.0,2820753654.0
2025-02-27,000333.SZ,64.12,65.66,63.78,65.45,65248235.0,4700242778.0
2025-02-28,000333.SZ,65.7,66.37,65.11,65.97,50647934.0,3702978856.0
2025-03-03,000333.SZ,65.65,65.91,63.98,64.12,40591782.0,2908667199.0
2025-03-04,000333.SZ,64.37,65.44,64.37,64.99,30041994.0,2159097772.0
2025-03-05,000333.SZ,64.93,65.15,64.3,64.79,28618620.0,2050696436.0
2025-03-06,000333.SZ,64.94,64.99,63.59,64.24,40239881.0,2857881528.0
2025-03-07,000333.SZ,64.22,64.33,63.45,63.93,31482660.0,2228492957.0
2025-03-10,000333.SZ,63.94,64.35,63.67,64.18,27344026.0,1937259286.0
2025-03-11,000333.SZ,63.66,64.51,63.48,64.05,25282497.0,1788427242.0
2025-03-12,000333.SZ,64.1,64.1,63.3,63.3,30130110.0,2117631624.0
2025-03-13,000333.SZ,63.22,63.8,63.04,63.22,25262164.0,1774959974.0
2025-03-14,000333.SZ,63.24,65.11,63.05,64.9,42544964.0,3036261982.0
2025-03-17,000333.SZ,65.49,65.49,64.66,64.91,34733287.0,2497780791.0
2025-03-18,000333.SZ,65.02,68.72,64.67,67.71,77931396.0,5762238290.0
2025-03-19,000333.SZ,69.74,70.38,67.75,69.09,106626103.0,8164296255.0
2025-03-20,000333.SZ,68.99,69.4,67.82,67.88,58569319.0,4434498828.0
2025-03-21,000333.SZ,67.52,69.02,67.52,67.98,38452793.0,2903191225.0
2025-03-24,000333.SZ,67.62,69.08,67.56,68.68,38734811.0,2945134162.0
2025-03-25,000333.SZ,69.36,69.99,68.96,69.41,32418622.0,2493718323.0
2025-03-26,000333.SZ,69.05,69.89,68.51,69.34,23706858.0,1814277211.0
2025-03-27,000333.SZ,69.34,69.99,68.92,69.08,25721538.0,1974042919.0
2025-03-28,000333.SZ,68.82,69.7,68.34,69.42,24911431.0,1909917934.0
2025-03-31,000333.SZ,69.44,72.69,69.44,70.89,68968445.0,5458996643.0
2025-04-01,000333.SZ,70.53,71.14,67.91,68.08,55181654.0,4204786523.0
2025-04-02,000333.SZ,68.04,69.34,67.9,68.59,26853625.0,2036925144.0
2025-04-03,000333.SZ,67.37,67.57,66.06,66.25,56598874.0,4179850012.0
2025-04-07,000333.SZ,61.6,62.73,59.62,60.67,88089693.0,5986991841.0
2025-04-08,000333.SZ,61.41,63.66,61.22,63.42,74473332.0,5151771418.0
2025-04-09,000333.SZ,62.48,63.66,61.79,62.91,57883954.0,4027838482.0
2025-04-10,000333.SZ,63.75,64.65,63.33,64.2,45084852.0,3199356700.0
2025-04-11,000333.SZ,63.68,63.88,62.88,63.65,29562589.0,2075657472.0
2025-04-14,000333.SZ,63.86,64.03,62.95,63.14,34883505.0,2447104070.0
2025-04-15,000333.SZ,63.3,64.86,62.93,64.55,34366681.0,2441442777.0
2025-04-16,000333.SZ,64.29,64.55,63.55,64.12,26672943.0,1890971340.0
2025-04-17,000333.SZ,63.88,64.27,63.52,64.07,19591273.0,1388823325.0
2025-04-18,000333.SZ,64.07,64.41,63.64,64.04,15448383.0,1094653676.0
2025-04-21,000333.SZ,63.92,64.67,63.66,64.47,17751380.0,1262930782.0
2025-04-22,000333.SZ,64.39,65.23,64.31,64.77,22615500.0,1626765493.0
2025-04-23,000333.SZ,65.11,65.4,64.84,64.88,22586871.0,1627423197.0
2025-04-24,000333.SZ,65.38,66.09,64.98,65.88,23180750.0,1684714693.0
2025-04-25,000333.SZ,65.88,65.92,65.36,65.7,17097238.0,1244078508.0
2025-04-28,000333.SZ,66.27,66.45,65.74,66.13,23966015.0,1755320152.0
2025-04-29,000333.SZ,66.16,67.16,65.8,67.01,23497383.0,1733740168.0
2025-04-30,000333.SZ,67.73,67.84,66.33,66.48,47810026.0,3548715615.0
2025-05-06,000333.SZ,67.03,67.17,66.01,66.87,34641179.0,2556249632.0
2025-05-07,000333.SZ,67.52,67.89,66.82,67.15,30028102.0,2239595605.0
2025-05-08,000333.SZ,67.14,68.31,66.72,67.73,27707567.0,2081094569.0
2025-05-09,000333.SZ,67.72,68.66,67.47,68.45,24563898.0,1861536388.0
2025-05-12,000333.SZ,68.72,69.3,68.54,69.15,27223912.0,2078979154.0
2025-05-13,000333.SZ,69.53,69.71,69.03,69.63,25527841.0,1963341233.0
2025-05-14,000333.SZ,69.44,70.03,68.75,69.61,29249633.0,2248759306.0
2025-05-15,000333.SZ,69.23,69.6,68.92,69.08,20490185.0,1571335906.0
2025-05-16,000333.SZ,68.82,69.39,68.24,69.17,23865992.0,1819974356.0
2025-05-19,000333.SZ,69.03,70.18,68.89,70.06,26308625.0,2031022754.0
